"Dist Code","Year","State Code","State Name","Dist Name","TOTAL POPULATION (1000 Number)","TOTAL MALE POPULATION (1000 Number)","TOTAL FEMALE POPULATION (1000 Number)","TOTAL RURAL POPULATION (1000 Number)","RURAL MALE POPULATION (1000 Number)","RURAL FEMALE POPULATION (1000 Number)","TOTAL URBAN POPULATION (1000 Number)","URBAN MALE POPULATION (1000 Number)","URBAN FEMALE POPULATION (1000 Number)","ST TOTAL POPULATION (1000 Number)","ST MALE POPULATION (1000 Number)","ST FEMALE POPULATION (1000 Number)","ST RURAL TOTAL POPULATION (1000 Number)","ST RURAL MALE POPULATION (1000 Number)","ST RURAL FEMALE POPULATION (1000 Number)","ST URBAN TOTAL POPULATION (1000 Number)","ST URBAN MALE POPULATION (1000 Number)","ST URBAN FEMALE POPULATION (1000 Number)","SC TOTAL POPULATION (1000 Number)","SC MALE POPULATION (1000 Number)","SC FEMALE POPULATION (1000 Number)","SC RURAL TOTAL POPULATION (1000 Number)","SC RURAL MALE POPULATION (1000 Number)","SC RURAL FEMALE POPULATION (1000 Number)","SC URBAN TOTAL POPULATION (1000 Number)","SC URBAN MALE POPULATION (1000 Number)","SC URBAN FEMALE POPULATION (1000 Number)","TOTAL LITERATES POPULATION (1000 Number)","MALE LITERATES POPULATION (1000 Number)","FEMALE LITERATES POPULATION (1000 Number)","TOTAL RURAL LITERATES POPULATION (1000 Number)","RURAL MALE LITERATES POPULATION (1000 Number)","RURAL FEMALE LITERATES POPULATION (1000 Number)","TOTAL URBAN LITERATES POPULATION (1000 Number)","URBAN MALE LITERATES POPULATION (1000 Number)","URBAN FEMALE LITERATES POPULATION (1000 Number)","TOTAL CULTIVATORS POPULATION (1000 Number)","MALE CULTIVATORS POPULATION (1000 Number)","FEMALE CULTIVATORS POPULATION (1000 Number)","TOTAL RURAL CULTIVATORS POPULATION (1000 Number)","RURAL MALE CULTIVATORS POPULATION (1000 Number)","RURAL FEMALE CULTIVATORS POPULATION (1000 Number)","TOTAL URBAN CULTIVATORS POPULATION (1000 Number)","URBAN MALE CULTIVATORS POPULATION (1000 Number)","URBAN FEMALE CULTIVATORS POPULATION (1000 Number)","TOTAL AGRICULTURAL LABOUR POPULATION (1000 Number)","MALE AGRICULTURAL LABOUR POPULATION (1000 Number)","FEMALE AGRICULTURAL LABOUR POPULATION (1000 Number)","TOTAL RURAL AGRICULTURAL LABOUR POPULATION (1000 Number)","RURAL MALE AGRICULTURAL LABOUR POPULATION (1000 Number)","RURAL FEMALE AGRICULTURAL LABOUR POPULATION (1000 Number)","TOTAL URBAN AGRICULTURAL LABOUR POPULATION (1000 Number)","URBAN MALE AGRICULTURAL LABOUR POPULATION (1000 Number)","URBAN FEMALE AGRICULTURAL LABOUR POPULATION (1000 Number)","NON AGRICULTURAL WORKERS POPULATION (1000 Number)","AGRICULTURAL WORKERS POPULATION (1000 Number)","TOTAL WORKERS POPULATION (1000 Number)"
"4","1981","14","Chhattisgarh","Bilaspur","2953.37","1482.06","1471.3","2544.58","1268.62","1275.96","408.78","213.44","195.34","690.84","342.76","348.09","668.93","331.14","337.78","21.92","11.61","10.3","509.48","254.7","254.77","461.58","230.02","231.56","47.9","24.69","23.21","844.63","633.35","211.28","619.34","489.98","129.37","225.29","143.38","81.91","672.48","433.36","239.12","661.84","425.63","236.21","10.65","7.73","2.92","354.11","168.13","185.98","341.21","160.99","180.23","12.89","7.14","5.75","1695.13","1026.59","2721.72"
"4","1991","14","Chhattisgarh","Bilaspur","3793.57","1917.42","1876.15","3148.76","1581.97","1566.79","644.8","335.45","309.35","873.74","436.22","437.52","829.16","413.01","416.14","44.59","23.2","21.38","687.22","348.24","338.98","601.9","304.2","297.71","85.32","44.04","41.28","1377.63","967.42","410.21","996.18","734.52","261.66","381.46","232.9","148.56","849.6","526.1","323.4","829.0","511.5","317.5","20.6","14.7","5.9","379.7","178.0","201.7","360.2","167.6","192.6","19.5","10.4","9.1","2249.14","1229.3","3478.44"
"4","2001","14","Chhattisgarh","Bilaspur","4613.64","2328.88","2284.76","3597.33","1802.37","1794.96","1016.31","526.51","489.8","1005.43","501.35","504.08","916.0","455.23","460.76","89.44","46.12","43.31","787.81","398.19","389.63","654.81","329.92","324.89","133.0","68.29","64.73","2447.65","1527.04","920.61","1743.49","1117.5","625.98","704.16","409.54","294.63","784.52","471.2","313.31","764.93","457.56","307.37","19.58","13.64","5.94","728.6","300.86","427.74","705.95","290.52","415.43","22.65","10.33","12.31","1140.78","1513.11","2653.89"
"4","2011","14","Chhattisgarh","Bilaspur","5728.51","2899.71","2828.82","4351.95","2192.04","2159.91","1376.57","707.65","668.92","1227.67","611.63","616.04","1108.53","551.62","556.91","119.14","60.01","59.13","1110.32","561.74","548.58","912.02","460.8","451.22","198.31","100.95","97.36","3485.06","2031.61","1453.46","2481.26","1472.8","1008.46","1003.8","558.82","444.99","719.65","450.34","269.32","690.2","430.43","259.76","29.46","19.91","9.55","1250.36","588.99","661.37","1197.53","561.96","635.56","52.84","27.02","25.8","3040.45","1970.01","5010.46"
"5","1961","14","Chhattisgarh","Raigarh","1041.23","517.96","523.27","981.34","486.45","494.89","59.89","31.5","28.38","477.94","235.76","242.18","473.52","233.43","240.09","4.42","2.33","2.09","115.72","57.12","58.6","108.63","53.59","55.04","7.09","3.53","3.56","154.66","128.83","25.83","129.9","110.84","19.06","24.76","17.99","6.77","421.81","224.72","197.09","419.02","223.01","196.0","2.8","1.71","1.09","82.15","45.21","36.95","81.82","45.0","36.83","0.33","0.21","0.12","449.22","503.96","953.18"
"5","1971","14","Chhattisgarh","Raigarh","1277.95","636.15","641.8","1202.05","596.25","605.8","75.9","39.9","36.0","604.58","299.14","305.44","598.17","295.72","302.45","6.41","3.42","2.99","132.45","65.89","66.56","123.35","61.28","62.07","9.09","4.61","4.48","254.63","196.14","58.49","216.92","170.69","46.24","37.7","25.45","12.25","289.67","237.86","51.82","288.16","236.52","51.64","1.52","1.34","0.17","124.88","81.26","43.62","123.84","80.46","43.39","1.03","0.81","0.23","838.56","414.55","1253.11"
"5","1981","14","Chhattisgarh","Raigarh","1443.2","719.61","723.58","1322.06","655.84","666.22","121.13","63.77","57.36","23.78","12.33","11.45","23.04","11.91","11.13","0.74","0.42","0.32","143.51","73.76","69.76","129.36","66.4","62.97","14.15","7.36","6.79","377.86","275.96","101.91","312.14","233.12","79.02","65.72","42.84","22.88","345.16","267.36","77.8","341.93","264.78","77.15","3.23","2.58","0.65","159.88","92.86","67.01","156.95","90.97","65.98","2.93","1.89","1.04","854.67","505.04","1359.71"
"5","1991","14","Chhattisgarh","Raigarh","1722.29","860.96","861.33","1559.23","776.01","783.22","163.06","84.95","78.11","821.48","407.06","414.42","797.66","394.54","403.12","23.82","12.51","11.31","195.91","97.94","97.97","173.52","86.54","86.98","22.4","11.4","10.99","581.91","394.81","187.1","487.38","336.46","150.92","94.53","58.35","36.18","412.7","307.8","104.9","408.5","304.4","104.0","4.3","3.4","0.9","165.1","94.1","71.0","161.4","91.7","69.7","3.7","2.4","1.3","1039.41","577.8","1617.21"
"5","2001","14","Chhattisgarh","Raigarh","1265.08","633.99","631.09","1095.79","546.88","548.91","169.29","87.11","82.18","917.65","455.64","462.02","885.71","439.38","446.34","31.94","16.26","15.69","216.14","107.68","108.47","187.59","93.19","94.4","28.55","14.48","14.07","753.19","443.93","309.26","635.22","376.06","259.16","117.97","67.87","50.1","246.88","151.72","95.16","244.69","149.96","94.74","2.19","1.77","0.43","233.43","108.08","125.35","230.89","106.84","124.05","2.54","1.24","1.3","663.97","480.31","1144.28"
"5","2011","14","Chhattisgarh","Raigarh","2345.65","1175.03","1170.63","2023.36","1010.13","1013.24","322.29","164.9","157.39","1035.99","513.2","522.79","976.72","484.03","492.7","59.27","29.18","30.09","273.78","136.43","137.36","230.2","114.67","115.52","43.59","21.75","21.83","1447.06","823.42","623.64","1207.97","691.95","516.02","239.09","131.47","107.62","435.18","271.01","164.17","427.63","265.69","161.94","7.56","5.33","2.23","521.35","254.29","267.05","509.22","247.37","261.85","12.13","6.92","5.21","1168.13","956.53","2124.66"
"6","1961","14","Chhattisgarh","Surguja","1036.74","530.17","506.57","992.95","505.93","487.02","43.79","24.23","19.56","576.29","289.95","286.34","571.79","287.24","284.55","4.5","2.71","1.79","60.28","30.09","30.19","57.31","28.43","28.88","2.97","1.66","1.32","94.87","81.59","13.28","77.6","68.93","8.67","17.27","12.66","4.61","474.12","258.68","215.44","473.09","257.91","215.17","1.03","0.77","0.26","64.92","31.52","33.4","64.52","31.25","33.26","0.4","0.27","0.13","418.41","539.04","957.45"
"6","1971","14","Chhattisgarh","Surguja","1321.35","672.28","649.07","1232.7","624.31","608.39","88.65","47.97","40.68","741.89","374.0","367.89","732.39","369.09","363.31","9.5","4.91","4.59","63.77","32.5","31.27","56.84","28.83","28.01","6.93","3.67","3.26","163.3","132.32","30.97","124.61","106.22","18.39","38.69","26.1","12.58","312.42","282.05","30.37","311.01","280.71","30.3","1.42","1.34","0.08","101.68","61.95","39.73","100.54","61.15","39.39","1.14","0.8","0.34","894.63","414.1","1308.73"
"6","1981","14","Chhattisgarh","Surguja","1633.48","832.36","801.12","1491.51","756.11","735.39","141.97","76.24","65.73","895.38","451.71","443.67","879.37","443.33","436.04","16.01","8.38","7.63","85.24","43.49","41.75","73.58","37.34","36.24","11.66","6.15","5.51","267.94","206.54","61.36","198.54","161.59","36.95","69.4","44.96","24.44","416.61","357.4","59.21","414.97","355.86","59.11","1.64","1.54","0.1","108.78","61.63","47.15","107.55","60.72","46.83","1.23","0.91","0.32","1013.96","525.39","1539.35"
"6","1991","14","Chhattisgarh","Surguja","2082.63","1064.63","1018.0","1831.47","929.95","901.52","251.16","134.68","116.48","1117.58","565.72","551.86","1084.52","548.48","536.03","33.06","17.24","15.82","114.83","58.67","56.16","93.22","47.32","45.9","21.61","11.35","10.26","495.88","356.32","139.56","359.72","271.08","88.63","136.17","85.24","50.93","497.6","408.1","89.5","494.9","405.6","89.2","2.7","2.5","0.2","126.2","72.1","54.2","124.7","71.0","53.7","1.5","1.1","0.4","1334.3","623.8","1958.1"
"6","2001","14","Chhattisgarh","Surguja","2556.12","1299.92","1256.2","2243.98","1135.44","1108.53","312.14","164.48","147.66","1336.71","673.91","662.8","1288.91","649.21","639.7","47.8","24.7","23.11","143.05","72.53","70.51","115.91","58.51","57.41","27.13","14.03","13.1","1195.57","744.49","451.07","977.59","617.66","359.93","217.98","126.84","91.14","652.66","399.86","252.79","650.23","398.0","252.23","2.42","1.86","0.56","403.77","156.88","246.89","401.94","155.72","246.22","1.83","1.16","0.67","990.05","1056.42","2046.48"
"6","2011","14","Chhattisgarh","Surguja","3018.81","1527.87","1490.94","2570.59","1296.25","1274.34","448.22","231.62","216.6","1604.91","805.46","799.45","1522.2","764.21","757.98","82.71","41.25","41.47","170.43","85.96","84.46","134.47","67.56","66.91","35.96","18.41","17.55","1585.76","924.61","661.16","1257.56","742.14","515.42","328.21","182.47","145.74","583.79","362.5","221.29","573.6","355.73","217.87","10.19","6.77","3.43","618.01","275.5","342.51","609.03","270.12","338.92","8.97","5.38","3.59","1555.93","1201.8","2757.73"
