"Dist Code","Year","State Code","State Name","Dist Name","TOTAL POPULATION (1000 Number)","TOTAL MALE POPULATION (1000 Number)","TOTAL FEMALE POPULATION (1000 Number)","TOTAL RURAL POPULATION (1000 Number)","RURAL MALE POPULATION (1000 Number)","RURAL FEMALE POPULATION (1000 Number)","TOTAL URBAN POPULATION (1000 Number)","URBAN MALE POPULATION (1000 Number)","URBAN FEMALE POPULATION (1000 Number)","ST TOTAL POPULATION (1000 Number)","ST MALE POPULATION (1000 Number)","ST FEMALE POPULATION (1000 Number)","ST RURAL TOTAL POPULATION (1000 Number)","ST RURAL MALE POPULATION (1000 Number)","ST RURAL FEMALE POPULATION (1000 Number)","ST URBAN TOTAL POPULATION (1000 Number)","ST URBAN MALE POPULATION (1000 Number)","ST URBAN FEMALE POPULATION (1000 Number)","SC TOTAL POPULATION (1000 Number)","SC MALE POPULATION (1000 Number)","SC FEMALE POPULATION (1000 Number)","SC RURAL TOTAL POPULATION (1000 Number)","SC RURAL MALE POPULATION (1000 Number)","SC RURAL FEMALE POPULATION (1000 Number)","SC URBAN TOTAL POPULATION (1000 Number)","SC URBAN MALE POPULATION (1000 Number)","SC URBAN FEMALE POPULATION (1000 Number)","TOTAL LITERATES POPULATION (1000 Number)","MALE LITERATES POPULATION (1000 Number)","FEMALE LITERATES POPULATION (1000 Number)","TOTAL RURAL LITERATES POPULATION (1000 Number)","RURAL MALE LITERATES POPULATION (1000 Number)","RURAL FEMALE LITERATES POPULATION (1000 Number)","TOTAL URBAN LITERATES POPULATION (1000 Number)","URBAN MALE LITERATES POPULATION (1000 Number)","URBAN FEMALE LITERATES POPULATION (1000 Number)","TOTAL CULTIVATORS POPULATION (1000 Number)","MALE CULTIVATORS POPULATION (1000 Number)","FEMALE CULTIVATORS POPULATION (1000 Number)","TOTAL RURAL CULTIVATORS POPULATION (1000 Number)","RURAL MALE CULTIVATORS POPULATION (1000 Number)","RURAL FEMALE CULTIVATORS POPULATION (1000 Number)","TOTAL URBAN CULTIVATORS POPULATION (1000 Number)","URBAN MALE CULTIVATORS POPULATION (1000 Number)","URBAN FEMALE CULTIVATORS POPULATION (1000 Number)","TOTAL AGRICULTURAL LABOUR POPULATION (1000 Number)","MALE AGRICULTURAL LABOUR POPULATION (1000 Number)","FEMALE AGRICULTURAL LABOUR POPULATION (1000 Number)","TOTAL RURAL AGRICULTURAL LABOUR POPULATION (1000 Number)","RURAL MALE AGRICULTURAL LABOUR POPULATION (1000 Number)","RURAL FEMALE AGRICULTURAL LABOUR POPULATION (1000 Number)","TOTAL URBAN AGRICULTURAL LABOUR POPULATION (1000 Number)","URBAN MALE AGRICULTURAL LABOUR POPULATION (1000 Number)","URBAN FEMALE AGRICULTURAL LABOUR POPULATION (1000 Number)","NON AGRICULTURAL WORKERS POPULATION (1000 Number)","AGRICULTURAL WORKERS POPULATION (1000 Number)","TOTAL WORKERS POPULATION (1000 Number)"
"118","1971","7","Maharashtra","Nagpur","1941.1","1009.07","932.03","885.68","453.67","432.01","1055.42","555.4","500.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80.29","41.7","38.59","36.26","18.81","17.45","44.03","22.89","21.14","876.21","567.55","308.66","281.02","197.97","83.05","595.19","369.58","225.61","151.91","118.71","33.21","141.28","109.54","31.74","10.64","9.17","1.47","196.49","90.27","106.22","181.13","82.13","99.0","15.36","8.14","7.22","1251.82","348.4","1600.22"
"118","1981","7","Maharashtra","Nagpur","2588.81","1345.38","1243.43","1119.53","577.08","542.45","1469.28","768.3","700.98","353.3","181.89","171.42","184.91","95.03","89.89","168.39","86.86","81.53","182.4","94.49","87.9","84.19","43.54","40.65","98.2","50.96","47.25","1412.39","857.55","554.84","463.21","301.12","162.09","949.18","556.43","392.75","191.7","135.43","56.27","179.49","125.83","53.66","12.21","9.6","2.61","241.8","107.2","134.61","221.93","97.24","124.69","19.87","9.96","9.91","1667.49","433.5","2100.99"
"118","1991","7","Maharashtra","Nagpur","3287.14","1710.4","1576.74","1256.23","649.9","606.33","2030.91","1060.5","970.41","457.72","235.9","221.82","235.62","121.29","114.33","222.1","114.61","107.49","619.23","319.94","299.29","220.23","113.75","106.48","399.0","206.19","192.8","2036.74","1180.44","856.3","644.51","391.07","253.44","1392.23","789.37","602.86","214.6","137.8","76.8","202.4","128.2","74.1","12.3","9.6","2.7","280.2","126.7","153.5","256.3","114.5","141.8","23.9","12.2","11.7","2119.23","494.8","2614.03"
"118","2001","7","Maharashtra","Nagpur","4051.44","2095.49","1955.96","1444.08","746.02","698.07","2607.36","1349.47","1257.89","444.44","228.12","216.32","217.75","111.7","106.06","226.69","116.42","110.27","696.46","357.31","339.15","241.17","124.34","116.83","455.3","232.98","222.32","2980.62","1654.79","1325.83","944.15","543.11","401.05","2036.46","1111.68","924.78","224.53","140.96","83.57","212.76","131.93","80.84","11.76","9.03","2.73","380.91","166.41","214.49","351.86","153.28","198.58","29.05","13.13","15.92","2089.12","605.43","2694.56"
"118","2011","7","Maharashtra","Nagpur","4653.57","2384.98","2268.6","1474.81","758.36","716.45","3178.76","1626.62","1552.14","437.57","223.57","214.01","200.15","102.28","97.88","237.42","121.29","116.13","867.71","439.21","428.51","234.06","119.69","114.37","633.65","319.51","314.14","3673.81","1959.22","1714.59","1072.98","589.83","483.15","2600.83","1369.39","1231.44","206.61","138.24","68.37","191.9","127.0","64.91","14.7","11.24","3.46","423.59","213.9","209.69","382.27","190.9","191.37","41.32","23.0","18.32","2785.01","630.2","3415.21"
"119","1961","7","Maharashtra","Bhandara","1268.29","635.17","633.11","1132.03","564.38","567.65","136.26","70.8","65.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","31.07","15.79","15.28","24.36","12.36","12.0","6.71","3.43","3.28","305.29","253.42","51.86","245.17","209.97","35.2","60.12","43.46","16.66","413.82","199.22","214.6","407.36","196.05","211.31","6.46","3.17","3.28","119.26","51.12","68.14","116.72","50.27","66.44","2.54","0.85","1.7","527.29","533.08","1060.37"
"119","1971","7","Maharashtra","Bhandara","1581.82","795.35","786.47","1401.28","701.99","699.28","180.54","93.35","87.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","82.97","41.97","41.0","68.85","34.75","34.1","14.12","7.22","6.9","554.36","401.52","152.84","459.11","339.66","119.46","95.25","61.87","33.38","337.55","205.51","132.05","333.22","202.32","130.9","4.33","3.19","1.15","187.72","87.82","99.9","183.02","85.44","97.58","4.7","2.39","2.32","839.37","525.27","1364.64"
"119","1981","7","Maharashtra","Bhandara","1837.58","920.16","917.42","1596.82","797.4","799.43","240.75","122.76","117.99","298.04","148.03","150.01","275.0","136.45","138.54","23.04","11.58","11.46","179.24","89.55","89.7","149.18","74.44","74.74","30.06","15.11","14.96","807.15","536.55","270.59","655.88","446.02","209.86","151.26","90.53","60.73","380.5","217.41","163.09","375.64","214.1","161.54","4.86","3.3","1.55","227.22","106.31","120.91","220.48","103.06","117.42","6.74","3.25","3.49","998.09","607.72","1605.81"
"119","1991","7","Maharashtra","Bhandara","2107.63","1060.28","1047.35","1831.74","918.91","912.82","275.89","141.36","134.53","309.82","154.75","155.08","288.48","143.9","144.58","21.35","10.85","10.5","355.48","177.45","178.03","304.17","151.57","152.6","51.31","25.88","25.43","1143.92","699.95","443.97","951.6","590.1","361.49","192.32","109.84","82.48","388.5","211.9","176.6","383.7","208.8","174.9","4.8","3.1","1.8","315.2","144.5","170.6","305.6","139.6","166.1","9.5","5.0","4.5","1142.61","703.7","1846.31"
"119","2001","7","Maharashtra","Bhandara","2335.99","1171.63","1164.36","2017.23","1009.43","1007.8","318.76","162.2","156.56","294.18","146.31","147.87","275.1","136.53","138.58","19.08","9.78","9.29","369.65","184.58","185.07","309.28","154.3","154.98","60.37","30.28","30.09","1587.72","901.93","685.8","1336.24","764.84","571.41","251.48","137.09","114.39","321.42","181.11","140.31","318.37","179.0","139.37","3.05","2.11","0.94","474.44","201.37","273.07","467.19","198.2","269.0","7.25","3.17","4.08","1171.42","795.86","1967.27"
"119","2011","7","Maharashtra","Bhandara","2522.84","1267.07","1255.76","2063.08","1035.41","1027.66","459.76","231.66","228.11","303.14","150.46","152.68","280.85","139.26","141.59","22.28","11.2","11.09","376.33","187.85","188.48","290.55","145.34","145.21","85.78","42.51","43.27","1904.1","1031.55","872.56","1526.75","833.93","692.82","377.35","197.62","179.75","309.61","187.21","122.4","304.15","183.15","121.0","5.46","4.06","1.4","593.59","287.96","305.64","576.04","278.84","297.21","17.56","9.12","8.43","1260.12","903.2","2163.32"
"120","1961","7","Maharashtra","Chandrapur","1238.07","623.68","614.39","1142.38","573.33","569.05","95.69","50.35","45.34","183.43","91.57","91.87","182.91","91.28","91.63","0.52","0.29","0.24","42.64","22.0","20.65","36.22","18.5","17.73","6.42","3.5","2.92","213.84","178.23","35.6","172.46","148.33","24.13","41.38","29.9","11.48","407.83","208.33","199.5","404.88","206.67","198.21","2.95","1.66","1.29","179.24","74.29","104.95","177.59","73.7","103.89","1.65","0.6","1.06","522.81","587.07","1109.88"
"120","1971","7","Maharashtra","Chandrapur","1635.31","828.26","807.05","1468.33","740.32","728.01","166.98","87.94","79.04","231.4","117.23","114.17","230.06","116.57","113.49","1.34","0.66","0.68","76.85","39.15","37.7","63.83","32.37","31.47","13.02","6.78","6.24","433.9","320.64","113.26","349.8","265.31","84.5","84.1","55.33","28.77","305.72","231.81","73.91","302.62","229.1","73.52","3.09","2.71","0.39","236.71","112.16","124.55","233.45","110.19","123.25","3.27","1.97","1.3","970.81","542.43","1513.24"
"120","1981","7","Maharashtra","Chandrapur","2055.91","1045.96","1009.95","1793.91","908.5","885.41","261.74","137.2","124.54","249.5","276.66","272.85","225.81","264.4","261.41","23.69","12.26","11.44","134.32","68.68","65.64","112.53","57.33","55.21","21.79","11.36","10.44","713.11","488.66","224.45","561.13","395.84","165.29","151.97","92.82","59.16","411.31","277.62","133.69","407.95","274.99","132.96","3.36","2.63","0.73","265.73","118.24","147.48","261.95","116.12","145.83","3.78","2.12","1.66","1176.16","677.04","1853.2"
"120","1991","7","Maharashtra","Chandrapur","2559.0","1308.15","1250.86","1993.62","1010.7","982.91","565.39","297.44","267.95","653.71","329.48","324.23","597.5","300.11","297.4","56.2","29.37","26.84","395.53","202.34","193.2","279.27","141.51","137.76","116.26","60.82","55.44","1155.69","727.36","428.33","799.43","517.02","282.42","356.25","210.34","145.91","443.6","278.7","164.8","435.2","273.3","161.9","8.4","5.4","3.0","368.2","157.0","211.1","351.7","149.1","202.6","16.3","7.9","8.4","1455.32","811.8","2267.12"
"120","2001","7","Maharashtra","Chandrapur","3047.87","1550.68","1497.19","2307.94","1172.88","1135.06","739.93","377.8","362.12","746.96","377.58","369.38","683.52","344.63","338.88","63.44","32.94","30.5","405.75","207.02","198.73","272.25","138.07","134.19","133.5","68.95","64.55","1813.4","1054.25","759.16","1270.09","750.71","519.38","543.31","303.53","239.78","465.72","275.5","190.23","456.81","270.26","186.55","8.92","5.24","3.68","582.28","228.29","353.99","565.76","221.17","344.59","16.52","7.12","9.4","1560.57","1048.0","2608.57"
"120","2011","7","Maharashtra","Chandrapur","3277.25","1665.16","1612.08","2383.84","1207.4","1176.44","893.41","457.77","435.65","804.75","404.13","400.62","722.07","362.11","359.94","82.69","42.01","40.68","469.12","237.94","231.17","289.52","146.74","142.78","179.59","91.2","88.4","2286.99","1267.68","1019.31","1576.16","886.2","689.96","710.81","381.47","329.35","446.34","272.84","173.49","438.9","267.66","171.24","7.44","5.2","2.26","721.79","334.15","387.66","694.63","320.17","374.48","27.16","13.98","13.18","1634.85","1168.13","2802.98"
"121","1961","3","Gujarat","Ahmedabad","2267.18","1217.1","1050.08","923.6","477.26","446.34","1343.58","739.84","603.74","12.22","6.61","5.61","5.19","2.74","2.45","7.02","3.87","3.16","226.96","119.51","107.46","90.07","45.7","44.37","136.89","73.81","63.08","925.65","626.28","299.37","235.75","175.29","60.46","689.9","450.99","238.91","188.87","141.62","47.26","183.63","137.27","46.36","5.25","4.35","0.9","81.89","46.41","35.48","78.81","44.53","34.27","3.09","1.88","1.21","1480.95","270.77","1751.71"
"121","1971","3","Gujarat","Ahmedabad","3023.57","1617.37","1406.21","1056.72","548.3","508.41","1966.86","1069.06","897.8","21.24","11.38","9.85","4.48","2.38","2.1","16.76","8.99","7.76","325.72","172.93","152.78","112.88","58.2","54.68","212.84","114.74","98.1","1465.91","943.55","522.35","337.5","242.77","94.73","1128.41","700.79","427.63","145.07","140.56","4.51","137.91","133.75","4.17","7.16","6.81","0.35","129.19","92.86","36.33","118.67","85.67","33.0","10.52","7.19","3.33","2727.16","274.26","3001.42"
"121","1981","3","Gujarat","Ahmedabad","4046.35","2138.62","1907.73","1228.44","634.74","593.69","2817.92","1503.89","1314.03","33.49","18.19","15.3","10.28","5.47","4.8","23.22","12.72","10.5","449.45","237.45","211.99","128.38","66.64","61.74","321.06","170.82","150.25","2261.48","1398.22","863.25","492.09","340.4","151.69","1769.39","1057.83","711.57","145.64","137.82","7.83","138.23","130.73","7.51","7.41","7.08","0.32","172.51","116.13","56.38","157.75","105.6","52.15","14.76","10.53","4.23","3749.94","318.15","4068.09"
"121","1991","3","Gujarat","Ahmedabad","5043.11","2654.62","2388.5","1357.77","706.23","651.55","3685.35","1948.4","1736.94","45.87","24.76","21.12","14.51","7.69","6.82","31.38","17.07","14.3","576.61","305.42","271.17","138.26","73.16","65.09","438.34","232.27","206.08","3139.7","1863.88","1275.81","661.72","432.97","228.76","2477.96","1430.92","1047.05","161.5","146.9","14.6","150.5","136.8","13.7","11.0","10.2","0.8","231.0","146.8","84.2","210.6","132.2","78.5","20.4","14.5","5.8","4635.69","392.5","5028.19"
"121","2001","3","Gujarat","Ahmedabad","6595.87","3481.89","3113.98","1668.21","869.24","798.97","4927.66","2612.66","2315.0","68.47","36.47","32.0","18.1","9.48","8.63","50.36","26.99","23.37","689.19","364.11","325.08","155.39","81.82","73.58","533.78","282.28","251.5","4587.84","2657.6","1930.24","934.12","591.4","342.72","3653.71","2066.2","1587.52","188.42","159.62","28.81","178.97","151.13","27.84","9.46","8.49","0.97","308.33","162.88","145.45","289.8","151.12","138.68","18.52","11.76","6.77","6038.21","496.75","6534.96"
"121","2011","3","Gujarat","Ahmedabad","8035.36","4215.13","3820.23","1617.95","836.56","781.39","6417.42","3378.57","3038.85","99.88","52.84","47.04","18.27","9.46","8.81","81.61","43.38","38.23","823.56","432.66","390.91","142.37","74.47","67.89","681.19","358.19","323.01","6043.75","3369.25","2674.51","1035.82","613.73","422.1","5007.93","2755.52","2252.41","204.12","178.63","25.49","174.39","154.62","19.78","29.72","24.01","5.71","345.27","217.97","127.3","300.99","186.14","114.85","44.3","31.84","12.46","5124.77","549.39","5674.16"
"122","1961","3","Gujarat","Amreli","667.82","340.62","327.2","525.25","267.18","258.07","142.57","73.44","69.13","0.19","0.09","0.09","0.18","0.09","0.09","0.01","0.01","0.0","46.05","22.98","23.07","39.55","19.62","19.93","6.5","3.36","3.14","193.08","132.14","60.94","135.31","94.24","41.07","57.77","37.9","19.87","175.68","101.94","73.74","163.61","94.59","69.03","12.07","7.35","4.72","44.11","24.38","19.73","42.38","23.28","19.1","1.73","1.1","0.63","371.73","219.79","591.52"
"122","1971","3","Gujarat","Amreli","847.91","433.3","414.6","679.31","346.45","332.86","168.6","86.86","81.74","0.32","0.16","0.16","0.28","0.15","0.13","0.04","0.02","0.03","63.33","32.16","31.17","55.8","28.12","27.68","7.54","4.04","3.49","285.21","189.42","95.79","204.37","138.78","65.58","80.84","50.64","30.21","129.82","119.31","10.5","121.43","111.38","10.05","8.39","7.93","0.45","53.19","39.35","13.84","49.53","36.53","13.0","3.66","2.82","0.84","652.97","183.01","835.98"
"122","1981","3","Gujarat","Amreli","1079.1","546.01","533.09","858.76","433.23","425.53","220.34","112.78","107.56","0.77","0.4","0.37","0.53","0.28","0.25","0.24","0.12","0.12","93.05","47.11","45.94","79.71","40.25","39.46","13.34","6.85","6.49","454.09","283.42","170.67","333.77","211.23","122.54","120.32","72.19","48.13","164.41","139.5","24.91","154.3","130.47","23.83","10.1","9.03","1.07","77.48","53.52","23.95","71.14","49.04","22.09","6.34","4.48","1.86","884.16","241.89","1126.05"
"122","1991","3","Gujarat","Amreli","1252.59","632.13","620.46","982.93","494.1","488.83","269.66","138.03","131.63","2.04","1.13","0.91","1.32","0.73","0.59","0.72","0.4","0.32","114.24","58.28","55.97","95.55","48.69","46.86","18.7","9.59","9.11","626.06","372.9","253.16","464.58","279.15","185.43","161.48","93.75","67.73","168.0","130.8","37.2","158.1","122.2","35.9","9.9","8.6","1.3","101.2","66.1","35.1","91.6","59.2","32.4","9.6","6.9","2.8","978.53","269.2","1247.73"
"122","2001","3","Gujarat","Amreli","1393.3","701.38","691.91","1080.42","540.16","540.26","312.87","161.22","151.65","3.26","1.75","1.51","1.63","0.85","0.78","1.63","0.9","0.73","115.49","59.15","56.34","95.86","48.97","46.89","19.63","10.17","9.45","814.15","466.51","347.65","601.99","346.57","255.42","212.16","119.94","92.22","232.29","132.34","99.95","223.78","126.74","97.04","8.52","5.61","2.91","150.45","71.68","78.77","144.74","68.25","76.49","5.71","3.43","2.28","1000.77","382.75","1383.51"
"122","2011","3","Gujarat","Amreli","1514.19","771.05","743.14","1127.56","572.55","555.0","386.64","198.5","188.14","7.32","3.86","3.47","4.14","2.21","1.93","3.18","1.65","1.54","132.92","68.52","64.4","109.35","56.36","52.99","23.56","12.16","11.4","995.46","558.18","437.28","715.04","404.94","310.11","280.42","153.24","127.17","232.13","156.21","75.92","223.22","148.79","74.43","8.91","7.42","1.49","209.94","114.73","95.2","193.93","104.15","89.78","16.01","10.58","5.43","857.05","442.07","1299.12"
"123","1961","3","Gujarat","Banaskantha","996.14","511.95","484.19","925.49","475.23","450.26","70.65","36.72","33.93","52.69","27.28","25.41","50.95","26.32","24.63","1.74","0.96","0.78","95.22","48.7","46.52","89.59","45.3","44.29","5.63","3.4","2.23","126.79","104.7","22.09","99.15","84.68","14.47","27.64","20.01","7.63","322.38","203.17","119.21","320.0","201.65","118.35","2.38","1.52","0.86","28.06","18.69","9.37","27.88","18.57","9.31","0.18","0.12","0.07","545.35","350.44","895.78"
"123","1971","3","Gujarat","Banaskantha","1265.26","651.8","613.46","1140.04","587.22","552.82","125.22","64.58","60.64","77.76","40.29","37.47","74.89","38.78","36.11","2.87","1.51","1.37","124.69","63.49","61.2","115.25","58.61","56.64","9.45","4.88","4.56","198.4","156.72","41.68","145.6","120.43","25.17","52.79","36.29","16.51","249.9","232.63","17.26","245.77","228.7","17.08","4.12","3.94","0.19","62.86","48.35","14.52","61.45","47.22","14.23","1.41","1.12","0.29","939.33","312.76","1252.09"
"123","1981","3","Gujarat","Banaskantha","1667.91","857.32","810.6","1523.75","782.7","741.05","144.17","74.62","69.55","111.94","57.51","54.43","107.66","55.26","52.4","4.28","2.25","2.03","170.14","86.99","83.15","154.15","78.72","75.43","15.99","8.27","7.72","384.3","292.19","92.11","310.66","244.59","66.07","73.65","47.6","26.05","294.04","272.81","21.23","291.99","270.97","21.02","2.05","1.84","0.22","93.89","69.86","24.03","91.8","68.12","23.68","2.09","1.74","0.35","1341.98","387.93","1729.91"
"123","1991","3","Gujarat","Banaskantha","2162.58","1119.37","1043.21","1942.29","1004.56","937.73","220.28","114.81","105.48","149.41","77.43","71.98","141.33","73.12","68.21","8.08","4.31","3.77","229.98","119.09","110.89","204.86","106.0","98.86","25.13","13.09","12.03","680.33","491.88","188.45","557.36","415.79","141.57","122.97","76.09","46.88","357.2","314.8","42.3","354.5","312.3","42.1","2.7","2.5","0.2","155.0","105.6","49.4","150.3","101.5","48.8","4.7","4.1","0.6","1641.5","512.2","2153.7"
"123","2001","3","Gujarat","Banaskantha","2502.84","1296.42","1206.43","2227.42","1151.64","1075.78","275.42","144.78","130.65","205.9","105.82","100.09","196.86","100.99","95.87","9.04","4.83","4.21","271.48","141.0","130.49","239.95","124.47","115.48","31.54","16.53","15.01","1049.72","707.73","341.99","872.42","601.84","270.58","177.3","105.89","71.41","482.79","337.55","145.23","480.39","335.63","144.76","2.39","1.92","0.47","242.94","116.33","126.61","240.6","114.9","125.7","2.34","1.43","0.9","1758.43","725.72","2484.16"
"123","2011","3","Gujarat","Banaskantha","3120.51","1610.38","1510.13","2705.59","1393.74","1311.85","414.92","216.64","198.28","284.16","144.36","139.8","271.06","137.67","133.38","13.1","6.68","6.42","327.46","169.29","158.17","287.94","148.61","139.33","39.52","20.68","18.85","1704.92","1048.4","656.52","1415.56","881.64","533.93","289.36","166.76","122.6","475.59","388.55","87.04","469.97","383.48","86.49","5.62","5.07","0.54","350.54","191.3","159.24","344.3","186.87","157.43","6.24","4.43","1.81","1871.91","826.13","2698.04"
"124","1961","3","Gujarat","Bharuch","891.97","458.13","433.84","758.17","388.88","369.29","133.8","69.24","64.56","370.97","188.22","182.75","354.22","179.66","174.57","16.75","8.57","8.18","44.76","22.92","21.84","38.09","19.19","18.9","6.67","3.73","2.94","305.56","212.54","93.02","238.03","169.69","68.34","67.53","42.84","24.69","185.89","116.21","69.68","183.2","114.14","69.06","2.69","2.07","0.62","144.39","72.98","71.4","142.52","72.08","70.43","1.87","0.9","0.97","485.23","330.28","815.51"
"124","1971","3","Gujarat","Bharuch","1106.09","567.07","539.02","912.76","466.79","445.97","193.33","100.28","93.05","486.9","247.0","239.9","462.94","234.46","228.48","23.96","12.54","11.42","53.43","27.25","26.18","43.73","22.23","21.5","9.7","5.02","4.68","395.74","263.92","131.82","291.83","200.47","91.36","103.91","63.45","40.46","122.91","113.13","9.77","119.77","110.19","9.58","3.14","2.95","0.19","184.64","110.3","74.34","179.21","106.94","72.27","5.43","3.36","2.07","789.72","307.55","1097.27"
"124","1981","3","Gujarat","Bharuch","1296.45","667.24","629.21","1055.22","541.36","513.86","241.51","125.88","115.63","577.39","294.1","283.3","544.97","277.16","267.82","32.42","16.94","15.48","59.69","30.68","29.01","45.06","22.98","22.08","14.63","7.7","6.93","579.06","370.36","208.7","431.96","283.02","148.94","147.1","87.34","59.77","144.18","121.76","22.42","141.46","119.2","22.26","2.72","2.56","0.16","199.91","123.86","76.06","193.01","119.41","73.61","6.9","4.45","2.45","980.08","344.09","1324.17"
"124","1991","3","Gujarat","Bharuch","1546.15","800.53","745.62","1217.32","628.71","588.61","328.83","171.82","157.01","703.96","360.26","343.7","659.02","337.06","321.97","44.94","23.2","21.73","66.07","34.12","31.94","45.59","23.39","22.2","20.48","10.73","9.75","801.39","492.23","309.16","581.53","366.19","215.35","219.85","126.04","93.81","153.6","133.1","20.5","151.0","130.6","20.4","2.6","2.4","0.2","231.1","143.1","87.9","223.7","137.8","85.9","7.4","5.4","2.0","1154.93","384.7","1539.63"
"124","2001","3","Gujarat","Bharuch","1884.19","977.41","906.78","1479.36","765.29","714.08","404.83","212.12","192.7","845.69","432.36","413.34","792.91","405.06","387.85","52.79","27.3","25.49","71.53","36.89","34.64","48.07","24.74","23.33","23.45","12.15","11.31","1149.52","677.61","471.91","843.08","507.38","335.71","306.44","170.23","136.2","175.02","129.75","45.27","173.23","128.13","45.1","1.79","1.61","0.18","344.45","173.94","170.51","340.06","171.05","169.01","4.39","2.88","1.51","1353.26","519.47","1872.73"
"124","2011","3","Gujarat","Bharuch","2141.32","1106.8","1034.52","1554.49","798.8","755.69","586.83","307.99","278.84","969.58","494.92","474.67","893.37","455.75","437.62","76.21","39.17","37.05","70.97","36.45","34.53","41.31","21.13","20.2","29.65","15.32","14.33","1488.62","834.82","653.8","1027.14","582.45","444.68","461.48","252.36","209.12","140.94","115.4","25.54","137.43","112.25","25.19","3.52","3.15","0.36","441.61","249.65","191.96","428.67","240.51","188.17","12.94","9.14","3.79","1219.4","582.55","1801.95"
"125","1961","3","Gujarat","Vadodara / Baroda","1527.33","801.03","726.3","1129.83","588.01","541.82","397.49","213.02","184.48","327.99","168.45","159.54","316.26","162.12","154.14","11.73","6.33","5.4","90.52","46.19","44.33","71.78","36.39","35.39","18.74","9.8","8.94","537.78","367.6","170.18","324.84","232.04","92.8","212.94","135.56","77.39","253.4","194.93","58.46","250.13","191.9","58.24","3.26","3.04","0.23","162.32","90.52","71.8","159.79","88.79","71.0","2.52","1.73","0.8","940.98","415.71","1356.7"
"125","1971","3","Gujarat","Vadodara / Baroda","1978.85","1039.67","939.18","1376.39","716.44","659.95","602.46","323.24","279.22","473.12","244.56","228.56","453.95","234.15","219.81","19.16","10.42","8.75","114.84","59.66","55.18","86.15","44.34","41.81","28.69","15.32","13.38","804.23","529.02","275.21","433.23","303.79","129.45","370.99","225.23","145.76","210.77","203.44","7.33","205.43","198.26","7.17","5.34","5.18","0.16","203.82","140.12","63.7","196.67","134.79","61.87","7.15","5.32","1.83","1551.88","414.59","1966.47"
"125","1981","3","Gujarat","Vadodara / Baroda","2558.09","1335.34","1222.75","1607.57","833.39","774.18","950.53","501.95","448.57","648.37","332.56","315.81","609.05","311.28","297.76","39.33","21.28","18.05","153.69","79.98","73.71","93.5","48.44","45.06","60.19","31.54","28.65","1236.66","780.68","455.98","602.17","410.11","192.06","634.49","370.57","263.92","240.84","228.08","12.76","234.15","221.62","12.54","6.69","6.47","0.22","265.06","178.07","86.99","252.24","168.48","83.76","12.82","9.6","3.23","2131.12","505.9","2637.02"
"125","1991","3","Gujarat","Vadodara / Baroda","3089.61","1614.98","1474.63","1761.55","916.61","844.94","1328.06","698.37","629.69","821.7","423.05","398.65","757.39","388.8","368.6","64.3","34.25","30.05","191.88","100.2","91.68","95.13","49.7","45.43","96.74","50.5","46.25","1669.08","1018.89","650.19","744.97","493.48","251.48","924.11","525.4","398.71","280.3","253.0","27.2","272.8","245.9","26.9","7.5","7.2","0.3","300.3","196.2","104.1","285.1","184.6","100.5","15.2","11.6","3.6","2499.96","580.6","3080.56"
"125","2001","3","Gujarat","Vadodara / Baroda","3639.78","1896.86","1742.92","1992.46","1032.93","959.53","1647.32","863.93","783.39","967.39","496.06","471.34","888.29","454.18","434.11","79.11","41.88","37.23","204.29","106.5","97.79","94.3","49.1","45.2","109.99","57.4","52.59","2258.93","1326.4","932.54","992.31","625.7","366.62","1266.62","700.7","565.92","335.85","243.84","92.01","330.05","238.46","91.6","5.8","5.39","0.41","472.47","232.85","239.62","461.43","226.12","235.31","11.03","6.73","4.31","2811.29","808.32","3619.6"
"125","2011","3","Gujarat","Vadodara / Baroda","4165.63","2153.74","2011.89","2099.86","1077.94","1021.91","2065.77","1075.79","989.98","1149.9","586.67","563.24","1040.6","529.31","511.29","109.3","57.36","51.94","221.63","114.6","107.03","83.1","42.94","40.17","138.53","71.67","66.86","2893.08","1614.09","1278.99","1228.61","715.86","512.75","1664.47","898.23","766.25","312.13","262.84","49.29","300.35","252.63","47.71","11.78","10.21","1.57","570.36","293.26","277.1","547.28","276.78","270.51","23.08","16.49","6.59","2472.15","882.49","3354.64"
"126","1961","3","Gujarat","Bhavnagar","1119.44","577.73","541.71","767.01","395.03","371.98","352.43","182.7","169.73","0.08","0.04","0.03","0.0","0.0","0.0","0.07","0.04","0.03","50.53","25.34","25.19","36.05","18.03","18.02","14.49","7.31","7.18","307.04","221.46","85.59","148.55","118.84","29.71","158.49","102.62","55.87","203.85","130.62","73.23","193.2","123.99","69.21","10.65","6.63","4.02","63.49","35.32","28.17","61.64","34.12","27.51","1.85","1.2","0.65","684.71","267.34","952.05"
